"id_encuestado","pais","region","zona","edad","generacion","sexo_biologico","ingreso_anual","importante_trabajo","ocurrio_trabajo","expectativa_trabajo","sentimiento_si_no_trabajo","importante_vivienda_propia","ocurrio_vivienda_propia","expectativa_vivienda_propia","sentimiento_si_no_vivienda_propia","importante_vida_independiente","ocurrio_vida_independiente","expectativa_vida_independiente","sentimiento_si_no_vida_independiente","importante_ser_padre","ocurrio_ser_padre","expectativa_ser_padre","sentimiento_si_no_ser_padre","importante_casarse","ocurrio_casarse","expectativa_casarse","sentimiento_si_no_casarse","importante_mascota","ocurrio_mascota","expectativa_mascota","sentimiento_si_no_mascota","idx_aspiracion_global","idx_expectativa_global","idx_satisfaccion_vida","D1_seguridad_economica","D2_vivienda_independencia","D3_familia_tradicional","D4_presion_social","D5_bienestar_emocional","D6_apertura_alternativas","D7_confianza_futuro","D8_estabilidad_laboral","D9_preocupacion_financiera","D10_apoyo_red_familiar","D11_expectativa_matrimonio","D12_optimismo_personal","D13_control_sobre_futuro","D14_autonomia_estilo_vida"
13685,"Suecia","Europa",1,51,"Gen X",1,42648,"Sí","No","Cierto","Neutral","Sí","Sí","","","Sí","Sí","","","Sí","No","Probable","Neutral","Sí","No","Improbable","Feliz","No","No","Incierto","Feliz",83.33,66.67,2.5,4.02,4.58,3.61,3.73,3.95,4.37,5.43,3.74,5.17,4.11,2.65,4.61,5.89,3.03
13687,"Suecia","Europa",2,49,"Gen X",2,68956,"Sí","No","Improbable","Triste","Sí","No","Probable","Neutral","Sí","No","Improbable","Triste","Sí","No","Probable","Neutral","No","No","Incierto","Neutral","No","Sí","","",66.67,50,1.6,5.17,5.13,3.25,3.11,5.82,4.34,3.86,3.61,4.69,3.12,2.4,5.18,4.75,4.88
13689,"Suecia","Europa",1,62,"Baby Boomer",2,38340,"Sí","Sí","","","Sí","No","Probable","Triste","Sí","No","Incierto","Feliz","No","Sí","","","Sí","No","Cierto","Neutral","No","Sí","","",66.67,66.67,2,5.82,5.35,2.51,2.88,4.04,4.9,6.3,5.58,3.12,2.69,2.93,4.36,4.47,5.95
13691,"India","Asia",1,46,"Millennial",1,8412,"No","No","Incierto","Neutral","No","Sí","","","Sí","No","Incierto","Feliz","Sí","No","Improbable","Triste","No","No","Probable","Neutral","No","Sí","","",33.33,0,2,3.5,3.15,4.72,4.11,3.61,4.15,1.63,3.55,4.93,4.97,3.73,2.64,3.04,3.36
13692,"Suecia","Europa",1,57,"Gen X",2,35775,"Sí","No","Probable","Feliz","Sí","No","Cierto","Triste","Sí","Sí","","","No","No","Cierto","Neutral","No","No","Probable","Neutral","Sí","Sí","","",66.67,100,2,3.65,3.89,2.88,4.69,3.2,3.61,5.3,3.78,4.49,3.87,3.65,4.2,4.3,4.47
13702,"Suecia","Europa",1,59,"Gen X",1,53463,"Sí","No","Probable","Feliz","No","No","Cierto","Neutral","Sí","Sí","","","No","No","Cierto","Feliz","No","Sí","","","No","No","Incierto","Triste",33.33,100,2.25,5.28,4.37,5.03,3.94,4.69,3.21,3.6,4.22,3.61,3.93,5.02,3.27,3.63,3.8
13713,"Suecia","Europa",1,49,"Gen X",2,32794,"Sí","No","Improbable","Neutral","Sí","Sí","","","No","Sí","","","No","Sí","","","No","No","Cierto","Feliz","Sí","No","Incierto","Neutral",50,0,2.33,4.24,4.79,2.69,3.46,4.07,5.08,4.59,4.81,3.6,3.63,3.46,4.86,4.04,4.87
13715,"Suecia","Europa",1,42,"Millennial",1,48926,"Sí","Sí","","","Sí","No","Probable","Triste","No","Sí","","","No","No","Probable","Triste","No","No","Probable","Triste","No","No","Probable","Triste",33.33,100,1,3.86,4.13,4.86,4.94,1.79,3.61,2.62,6.11,3.83,5.27,3.67,4.05,3.9,3.91
13724,"India","Asia",2,45,"Millennial",1,3457,"No","No","Incierto","Neutral","No","No","Incierto","Triste","No","No","Incierto","Neutral","No","Sí","","","No","No","Incierto","Neutral","No","Sí","","",0,NA,1.75,3.85,3.49,3.94,4.87,3.73,2.92,2.98,5,4.67,3.81,3.1,1.53,2.52,3.84
13728,"India","Asia",2,57,"Gen X",2,4499,"Sí","No","Probable","Neutral","Sí","Sí","","","No","No","Probable","Triste","Sí","No","Probable","Feliz","Sí","No","Probable","Neutral","No","No","Probable","Neutral",66.67,100,2,4.28,3.43,3.01,2.57,3.72,4.02,6.8,2.78,4.59,2.31,3.52,4.21,3.98,5.69
13738,"Suecia","Europa",1,26,"Gen Z",2,46274,"No","Sí","","","Sí","No","Improbable","Neutral","Sí","No","Cierto","Feliz","No","Sí","","","No","No","Improbable","Triste","Sí","Sí","","",50,50,2,4.22,3.79,3.6,3.04,2.91,4.34,3.76,4.42,3.22,4.06,3.23,3.17,3.53,3.75
13739,"India","Asia",1,49,"Gen X",1,3295,"Sí","Sí","","","Sí","No","Probable","Feliz","Sí","Sí","","","Sí","Sí","","","Sí","Sí","","","No","No","Incierto","Feliz",83.33,100,3,4.04,6.14,4.62,3.72,3.79,3.46,4.5,4.32,3.96,4.93,3.17,3.27,4.81,4.22
13741,"Suecia","Europa",1,30,"Gen Z",1,49153,"Sí","No","Probable","Triste","No","No","Probable","Feliz","No","No","Probable","Neutral","No","Sí","","","No","No","Incierto","Neutral","No","No","Cierto","Neutral",16.67,100,2,4.41,5.12,4.65,5.28,3.14,4.13,3.02,5.66,3.87,5.12,5.12,3.89,2.9,2.52
13742,"India","Asia",2,62,"Baby Boomer",1,5024,"No","No","Cierto","Feliz","No","Sí","","","Sí","No","Improbable","Triste","No","No","Probable","Feliz","Sí","Sí","","","No","No","Probable","Neutral",33.33,0,2.25,3.7,3.78,3.99,4.46,3.41,3.49,4.01,4.54,4.52,3.8,3.09,2.21,3.99,5.2
13752,"India","Asia",1,18,"Gen Z",2,2506,"No","No","Cierto","Triste","Sí","No","Improbable","Neutral","No","Sí","","","No","No","Cierto","Feliz","No","No","Incierto","Triste","No","No","Probable","Triste",16.67,0,1.6,3.11,2.14,2.88,4.85,4.23,4.31,3.39,3.68,4.3,3.02,3.84,2.78,2.23,3.55
13759,"Suecia","Europa",1,66,"Baby Boomer",1,81246,"Sí","Sí","","","Sí","No","Cierto","Feliz","Sí","Sí","","","Sí","No","Improbable","Triste","Sí","No","Cierto","Triste","No","Sí","","",83.33,66.67,1.67,4.04,4.61,4.66,3.5,5,3.3,6.03,4.64,2.54,4.1,3.46,4.13,5.11,4.77
13763,"Suecia","Europa",1,35,"Millennial",1,94735,"Sí","Sí","","","No","No","Improbable","Neutral","No","No","Improbable","Neutral","No","No","Probable","Triste","Sí","No","Probable","Neutral","No","Sí","","",33.33,100,1.75,4.81,5.1,3.57,3.7,5.08,4.06,4.22,5.93,4.05,3.05,3.98,3.52,5.38,4.61
13768,"India","Asia",1,49,"Gen X",2,4115,"Sí","Sí","","","No","Sí","","","Sí","Sí","","","No","Sí","","","Sí","No","Probable","Neutral","No","Sí","","",50,100,2,2.29,3.25,4.12,3.54,4.74,3.45,3.65,2.6,5.12,4.69,3.5,3.26,4.22,4.61
13791,"India","Asia",1,66,"Baby Boomer",1,5349,"Sí","Sí","","","No","Sí","","","Sí","No","Cierto","Neutral","No","No","Improbable","Neutral","Sí","No","Cierto","Neutral","No","Sí","","",50,100,2,3.94,4.61,3.74,4.29,4.72,5.08,6.21,2.73,5.83,4.41,3.51,5.51,5.37,4.29
13802,"India","Asia",1,57,"Gen X",1,3237,"Sí","Sí","","","No","Sí","","","Sí","No","Incierto","Triste","No","No","Probable","Neutral","Sí","No","Incierto","Triste","No","Sí","","",50,0,NA,4.35,3.92,4.1,3.71,4,3.4,2.51,5.09,3.83,4.81,4.77,3.97,4.5,4.43
13818,"India","Asia",2,39,"Millennial",2,2985,"No","No","Incierto","Triste","No","No","Incierto","Feliz","Sí","No","Probable","Neutral","No","No","Probable","Triste","No","No","Improbable","Neutral","No","Sí","","",16.67,100,1.8,3.75,4.12,2.56,3.02,4.05,4.69,3.79,4.18,5.28,3.61,2.33,3.15,3.26,5.1
13820,"India","Asia",1,60,"Gen X",2,4209,"No","Sí","","","No","No","Improbable","Neutral","No","No","Incierto","Feliz","No","No","Incierto","Feliz","No","No","Improbable","Feliz","Sí","No","Cierto","Triste",16.67,100,2.4,4.28,3.52,3.62,3.87,4,4.83,3.42,3.4,3.63,3.02,2.83,3.16,3.95,3.2
13822,"Suecia","Europa",2,68,"Baby Boomer",2,50276,"No","Sí","","","No","Sí","","","No","Sí","","","Sí","Sí","","","No","No","Probable","Neutral","No","Sí","","",16.67,NA,2,3.5,4.18,3.04,3.57,4.77,4.81,5.39,4.41,3.67,3.71,3.63,4.71,4.57,4.94
13828,"Suecia","Europa",1,39,"Millennial",1,79809,"Sí","No","Probable","Neutral","No","No","Cierto","Triste","Sí","Sí","","","No","No","Probable","Neutral","No","Sí","","","No","No","Incierto","Neutral",33.33,100,1.75,5.5,4.36,2.66,2.98,4.31,3.41,5.24,5.55,5.16,2.47,2.24,5.74,6.79,4.62
13839,"India","Asia",1,63,"Baby Boomer",1,5573,"Sí","No","Cierto","Feliz","No","Sí","","","No","Sí","","","Sí","Sí","","","No","No","Improbable","Feliz","No","No","Probable","Feliz",33.33,100,3,3.73,4.08,4.64,3.92,3.74,3.38,4.36,4.07,4.6,5.04,4.42,4,3.37,3.55
13840,"India","Asia",2,40,"Millennial",2,4382,"No","No","Improbable","Neutral","No","No","Incierto","Feliz","No","Sí","","","No","No","Probable","Triste","No","Sí","","","No","Sí","","",0,NA,NA,4.19,3.48,2.73,4.29,3.27,4.16,2.53,3.9,5.81,3.43,3.15,2.01,3.22,4.39
13851,"India","Asia",2,54,"Gen X",1,3845,"Sí","No","Probable","Neutral","Sí","No","Improbable","Neutral","No","No","Probable","Neutral","No","No","Incierto","Feliz","Sí","Sí","","","No","No","Incierto","Feliz",50,50,2.4,4.36,3.47,4.74,5.28,3.22,2.74,3.87,4.64,4.17,3.96,5.27,4.61,5.19,4
13855,"Suecia","Europa",1,29,"Gen Z",1,67526,"Sí","No","Incierto","Triste","Sí","No","Incierto","Neutral","Sí","No","Probable","Neutral","Sí","No","Incierto","Neutral","No","Sí","","","Sí","Sí","","",83.33,25,NA,6.06,3.71,5.3,5.39,3.29,3.27,2.82,5.09,4.28,3.93,4.45,1.97,2.74,2.68
13856,"India","Asia",2,21,"Gen Z",1,3478,"Sí","No","Incierto","Feliz","No","No","Incierto","Triste","No","No","Cierto","Triste","No","No","Incierto","Triste","No","No","Incierto","Feliz","No","Sí","","",16.67,0,1.8,3.75,3.2,4.54,4.8,1.99,4.06,1,3.67,4.81,4.12,5.38,1.67,1.87,1.65
13859,"Suecia","Europa",1,71,"Baby Boomer",1,120090,"Sí","Sí","","","Sí","No","Probable","Triste","No","Sí","","","Sí","No","Cierto","Feliz","Sí","No","Cierto","Neutral","Sí","Sí","","",83.33,100,2,4.46,5.64,3.8,4.04,3.86,4.05,5.9,4.77,3.76,4.96,4.24,4.26,6.21,4.37
13863,"India","Asia",2,47,"Gen X",2,3481,"Sí","No","Probable","Triste","No","No","Probable","Triste","Sí","No","Probable","Triste","Sí","No","Incierto","Feliz","No","No","Cierto","Triste","No","No","Incierto","Feliz",50,66.67,1.67,4.25,4.29,4.66,3.63,3.63,3.87,4.93,3.37,4.7,4.01,4.28,2.84,4.57,4.52
13870,"India","Asia",2,40,"Millennial",1,4217,"No","Sí","","","No","No","Probable","Triste","No","No","Cierto","Neutral","Sí","No","Incierto","Feliz","No","No","Cierto","Feliz","No","No","Cierto","Triste",16.67,0,2,3.32,3.13,4.93,4.49,3.95,2.57,2.7,3.35,4.92,5.66,5.21,3.49,2.53,1.62
13876,"Suecia","Europa",1,67,"Baby Boomer",1,79634,"Sí","Sí","","","No","Sí","","","No","Sí","","","No","No","Probable","Feliz","Sí","Sí","","","No","No","Probable","Feliz",33.33,NA,3,4.72,4.33,3.93,3.95,4.68,4.05,5.6,4.76,4.52,4.45,4.3,5.56,5.32,4.37
13878,"India","Asia",2,68,"Baby Boomer",2,3041,"Sí","No","Cierto","Feliz","No","No","Probable","Feliz","No","Sí","","","No","No","Improbable","Feliz","No","No","Incierto","Neutral","No","No","Probable","Neutral",16.67,100,2.6,4.16,3.22,3.78,4.92,3.39,4.4,3.32,4.18,3.05,5,3.81,3.96,3.93,4.33
13889,"Suecia","Europa",1,57,"Gen X",1,NA,"Sí","Sí","","","Sí","Sí","","","Sí","No","Probable","Feliz","No","No","Probable","Neutral","No","No","Cierto","Feliz","No","No","Probable","Triste",50,100,2.25,4.66,3.87,4.82,4.08,4.54,4.14,4.82,2.01,4.25,3.45,3.5,3.65,2.63,3.29
13892,"India","Asia",1,67,"Baby Boomer",2,2851,"Sí","Sí","","","No","Sí","","","No","Sí","","","Sí","No","Probable","Neutral","No","No","Probable","Triste","No","No","Incierto","Triste",33.33,100,NA,2.47,4.48,4.44,4.13,4.2,3.52,5.1,2.77,6.47,3.36,4.03,4.95,3.79,3.38
13907,"India","Asia",2,53,"Gen X",2,NA,"Sí","Sí","","","Sí","No","Probable","Feliz","No","No","Probable","Feliz","Sí","No","Incierto","Neutral","No","No","Probable","Neutral","No","Sí","","",50,50,2.5,4.03,4,3.52,3.42,3.81,5.35,3.21,3.83,4.85,3.71,3.61,2.99,2.33,4.12
13912,"Suecia","Europa",1,28,"Gen Z",2,29520,"Sí","Sí","","","No","Sí","","","No","No","Incierto","Triste","No","No","Incierto","Feliz","Sí","No","Probable","Neutral","No","Sí","","",33.33,100,2,3.1,2.77,3.1,3.5,4.77,4.54,2.85,4.14,5.01,4.12,4.61,4.59,3.13,3.75
13914,"India","Asia",2,39,"Millennial",2,1914,"No","No","Incierto","Triste","Sí","No","Probable","Triste","Sí","Sí","","","No","No","Probable","Triste","No","No","Probable","Feliz","No","No","Probable","Triste",33.33,100,1.4,3.12,3.14,4.08,3.03,4.64,4.42,3.02,3,5.16,3.84,2.51,3.9,3.72,4.52
13915,"Suecia","Europa",1,47,"Gen X",2,48071,"Sí","No","Probable","Feliz","Sí","Sí","","","No","Sí","","","No","Sí","","","No","Sí","","","No","Sí","","",33.33,100,3,5.23,5.15,4.19,4.57,4.46,3.89,5.23,5.02,3.67,3.58,4.35,5.24,4.39,4.06
13916,"India","Asia",1,50,"Gen X",2,3518,"No","Sí","","","Sí","No","Cierto","Triste","No","Sí","","","No","No","Probable","Feliz","No","No","Incierto","Feliz","No","No","Cierto","Neutral",16.67,100,2.25,4.35,4.28,4.59,4.15,3.26,4.92,3.17,4.35,5.07,4.32,3.28,4.07,3.82,4.82
13923,"Suecia","Europa",1,55,"Gen X",1,34794,"Sí","Sí","","","Sí","No","Incierto","Feliz","No","Sí","","","No","No","Cierto","Triste","No","Sí","","","No","Sí","","",33.33,0,2,4.95,3.49,4.55,4.04,4.32,3.03,4.01,5.37,3.6,3.31,3.67,4.36,4.8,3.41
13928,"Suecia","Europa",1,65,"Baby Boomer",1,125695,"Sí","No","Cierto","Feliz","Sí","No","Cierto","Triste","Sí","No","Probable","Neutral","No","Sí","","","No","Sí","","","No","Sí","","",50,100,2,5.05,5.09,3.19,3.1,4.94,3.73,5.72,4.6,4.86,3.29,3.03,4.46,5.83,4.57
13934,"India","Asia",1,72,"Baby Boomer",2,2538,"No","No","Incierto","Triste","Sí","No","Incierto","Feliz","No","Sí","","","No","Sí","","","No","No","Probable","Feliz","No","Sí","","",16.67,0,2.33,2.82,1.86,3.46,3.79,4,3.56,3.63,2.81,5.91,4.13,3.19,3.65,3.81,3.56
13936,"Suecia","Europa",1,50,"Gen X",2,32024,"Sí","Sí","","","Sí","No","Probable","Neutral","No","No","Probable","Triste","No","No","Improbable","Feliz","No","No","Probable","Feliz","Sí","Sí","","",50,100,2.25,4.25,5.38,3.81,4.02,3.35,3.72,2.58,5.07,4.11,3.69,5.03,3.64,4.27,3.42
13940,"Suecia","Europa",1,52,"Gen X",2,63555,"Sí","Sí","","","No","No","Probable","Triste","No","Sí","","","Sí","Sí","","","No","Sí","","","No","Sí","","",33.33,NA,1,4.3,5.23,3.08,3.41,4.94,5.54,5.07,5.94,3.39,2.49,3.05,6.13,5.34,4.77
13944,"India","Asia",1,32,"Millennial",2,2197,"No","Sí","","","Sí","No","Incierto","Neutral","No","No","Incierto","Neutral","No","No","Probable","Triste","Sí","No","Probable","Neutral","No","No","Probable","Feliz",33.33,50,2,3.31,3.36,4.11,3.98,3.55,4.53,2.69,2.73,5.59,4.82,4.1,2.81,3.71,3.42
13945,"India","Asia",2,47,"Gen X",2,3804,"No","No","Probable","Neutral","Sí","No","Cierto","Triste","No","Sí","","","No","No","Incierto","Neutral","No","No","Incierto","Neutral","No","No","Incierto","Neutral",16.67,100,1.8,3.38,3.49,3.84,3.81,3.9,4.2,4.13,4.4,4.31,4.39,3.92,5.07,4.45,3.04
13951,"India","Asia",2,34,"Millennial",2,NA,"No","Sí","","","No","No","Incierto","Feliz","No","No","Incierto","Triste","Sí","No","Probable","Neutral","No","No","Incierto","Neutral","No","No","Probable","Neutral",16.67,100,2,4.9,4.14,4.32,5.21,3.88,3.68,4.39,3.49,3.39,5.31,4.12,3.43,3.26,3.63
13955,"India","Asia",1,65,"Baby Boomer",1,3985,"No","Sí","","","No","Sí","","","No","No","Cierto","Neutral","No","No","Probable","Neutral","No","No","Cierto","Neutral","No","Sí","","",0,NA,2,2.97,3.86,4.55,4.34,3.22,4.24,3.85,4.64,4.29,6.13,4.34,3.81,4.45,3.24
13960,"Suecia","Europa",1,56,"Gen X",1,94583,"Sí","No","Probable","Feliz","No","No","Incierto","Neutral","Sí","Sí","","","No","No","Cierto","Triste","Sí","Sí","","","Sí","Sí","","",66.67,100,2,5.21,4.18,3.86,3.21,5.68,4.57,5.15,4.36,3.2,3.59,4.69,4.64,5.03,4.93
13961,"India","Asia",1,71,"Baby Boomer",2,-12500,"Sí","No","Probable","Triste","Sí","Sí","","","No","No","Incierto","Triste","No","No","Probable","Triste","No","No","Improbable","Triste","No","Sí","","",33.33,100,1,4.32,4.78,2.91,4.01,4.87,4.25,2.97,4.52,4.5,4.12,4.65,3.67,3.65,3.59
13962,"India","Asia",1,69,"Baby Boomer",1,6220,"Sí","No","Cierto","Neutral","No","Sí","","","No","Sí","","","Sí","Sí","","","Sí","No","Cierto","Triste","No","Sí","","",50,100,1.5,2.58,3.24,4.38,4.13,4.69,5.19,4.54,3.1,4.24,3.29,3.35,4.82,4.64,4.7
13964,"India","Asia",1,44,"Millennial",1,7523,"No","Sí","","","Sí","Sí","","","Sí","Sí","","","Sí","No","Cierto","Neutral","Sí","No","Probable","Feliz","No","No","Probable","Feliz",66.67,100,2.67,3.35,3.12,5.12,4.25,3.93,2.9,3.43,2.56,4.77,4.43,4.11,4.24,3.49,2.91
13968,"Suecia","Europa",2,60,"Gen X",1,84130,"Sí","No","Probable","Feliz","Sí","Sí","","","Sí","Sí","","","No","No","Cierto","Neutral","Sí","No","Probable","Triste","No","Sí","","",66.67,100,2,4.54,5.32,4.89,4.39,3.97,4.09,5.07,4.61,3.47,4.48,4.94,5,3.07,3.53
13975,"Suecia","Europa",1,47,"Gen X",1,52754,"No","No","Cierto","Triste","Sí","Sí","","","Sí","Sí","","","Sí","No","Incierto","Triste","No","Sí","","","Sí","No","Probable","Feliz",66.67,50,1.67,2.77,4.26,3.63,2.87,3.74,4.34,4.66,4.72,3.5,3.51,2.66,3.4,5.52,3.59
13991,"India","Asia",1,62,"Baby Boomer",2,4748,"Sí","Sí","","","Sí","No","Incierto","Feliz","No","Sí","","","No","No","Incierto","Feliz","No","No","Probable","Neutral","No","Sí","","",33.33,0,2.67,3.14,3.14,4.01,4.41,4.08,4.16,3.95,2.62,4.79,4.43,3.71,3.77,3.93,4.19
14002,"Suecia","Europa",2,46,"Millennial",2,96979,"Sí","No","Incierto","Feliz","Sí","Sí","","","Sí","No","Incierto","Neutral","No","No","Probable","Neutral","No","No","Cierto","Triste","No","Sí","","",50,0,NA,5.27,4.3,3.78,4.19,5.8,4.41,3.92,5.43,4.25,4.74,5.3,4.75,5.55,4.34
14007,"Suecia","Europa",1,45,"Millennial",2,27490,"Sí","No","Improbable","Triste","Sí","No","Probable","Triste","No","Sí","","","No","No","Cierto","Triste","No","No","Cierto","Triste","No","Sí","","",33.33,50,1,4.74,4.64,2.36,3.47,5.61,4.03,3.62,3.4,5.22,2.53,3.82,4.62,4.45,5.47
14010,"India","Asia",2,56,"Gen X",1,5679,"No","No","Incierto","Triste","No","No","Incierto","Triste","No","Sí","","","Sí","Sí","","","No","No","Incierto","Triste","No","Sí","","",16.67,NA,1,2.5,3.17,5.49,4.12,3.96,2.92,4.11,2.9,5.42,4.6,5.11,4.18,4.4,2.94
14014,"Suecia","Europa",1,27,"Gen Z",2,36182,"No","No","Probable","Triste","Sí","No","Incierto","Feliz","No","No","Incierto","Triste","No","No","Incierto","Triste","No","No","Probable","Triste","No","Sí","","",16.67,0,1.4,3.86,3.89,3.85,5.69,2.4,3.71,1.99,5.26,3.92,2.71,3.68,2.7,2.72,3.12
14020,"Suecia","Europa",1,56,"Gen X",2,33098,"No","No","Probable","Neutral","Sí","No","Cierto","Triste","Sí","Sí","","","No","No","Incierto","Feliz","No","No","Probable","Neutral","No","No","Probable","Triste",33.33,100,1.8,4.9,5.18,4.25,3.3,4.24,4.32,4.43,5.82,3.1,4.97,3.2,4.68,4.46,3.31
14021,"Suecia","Europa",1,28,"Gen Z",1,39941,"Sí","No","Cierto","Neutral","Sí","No","Incierto","Neutral","Sí","No","Probable","Feliz","Sí","No","Probable","Neutral","Sí","No","Probable","Neutral","No","No","Cierto","Neutral",83.33,80,2.17,5.14,3.57,3.59,5.75,3.38,3.68,3.31,4.39,2.18,3.91,3.73,1.93,3.5,3.53
14028,"Suecia","Europa",1,51,"Gen X",1,75141,"Sí","Sí","","","Sí","Sí","","","No","Sí","","","Sí","No","Probable","Neutral","Sí","No","Probable","Triste","No","No","Incierto","Feliz",66.67,100,2,3.91,4.53,4.38,3.44,5.21,3.14,5.94,5.76,3.4,3.11,4.06,5.5,5.28,4.72
14035,"India","Asia",1,38,"Millennial",2,2608,"No","Sí","","","No","No","Probable","Triste","Sí","No","Improbable","Feliz","Sí","No","Probable","Triste","No","No","Incierto","Neutral","No","Sí","","",33.33,50,1.75,2.49,3.28,3.83,2.9,3.45,4.97,2.71,1.99,4.08,3.39,4.79,2.57,3.97,4.23
14036,"Suecia","Europa",1,69,"Baby Boomer",1,111182,"No","No","Cierto","Neutral","No","Sí","","","No","No","Probable","Neutral","No","No","Cierto","Triste","Sí","No","Probable","Triste","No","No","Incierto","Neutral",16.67,100,1.6,3.75,4.36,4.5,4.24,4.85,4.37,5.66,3.53,3.9,4.11,4.36,5.4,3.72,4.07
14042,"India","Asia",2,49,"Gen X",1,3528,"Sí","No","Cierto","Feliz","No","No","Probable","Feliz","No","No","Incierto","Neutral","No","No","Probable","Feliz","No","No","Probable","Neutral","No","Sí","","",16.67,100,2.6,3.31,3.8,5.28,4.52,4.81,2.85,4.81,4.14,3.93,7,4.57,3.36,4.63,1.93
14052,"India","Asia",1,62,"Baby Boomer",1,4740,"Sí","Sí","","","No","Sí","","","No","No","Probable","Neutral","No","No","Probable","Feliz","No","No","Cierto","Neutral","No","Sí","","",16.67,NA,2.33,3.65,4.08,4.99,4.68,3.57,4.36,4.94,2.7,4.37,3.91,4.2,3.94,2.59,3.82
14053,"India","Asia",2,25,"Gen Z",2,4249,"Sí","No","Probable","Triste","No","No","Probable","Triste","No","No","Incierto","Neutral","Sí","No","Probable","Neutral","Sí","No","Incierto","Neutral","No","No","Incierto","Neutral",50,66.67,1.67,3.52,3.1,4.65,3.95,3.4,4.45,2.81,4.16,3.68,4.45,4.81,3.21,2.62,2.84
14055,"Suecia","Europa",2,32,"Millennial",2,45322,"Sí","Sí","","","No","Sí","","","Sí","No","Cierto","Triste","No","No","Incierto","Neutral","No","No","Cierto","Neutral","No","No","Incierto","Neutral",33.33,100,NA,3.97,3.34,3.33,4,3.57,5.12,4.91,3.75,2.14,3.6,3.36,3.81,2.78,3.48
14062,"Suecia","Europa",1,57,"Gen X",1,97318,"Sí","Sí","","","Sí","No","Cierto","Neutral","No","No","Incierto","Feliz","No","No","Probable","Feliz","Sí","Sí","","","Sí","Sí","","",66.67,100,2.67,5.43,5.18,4.6,4.17,4.98,4.28,4.97,4.49,3.87,4.11,4.57,3.79,3.73,1.82
14063,"India","Asia",1,71,"Baby Boomer",1,5636,"Sí","No","Cierto","Feliz","No","Sí","","","No","No","Incierto","Feliz","Sí","No","Probable","Neutral","No","No","Improbable","Feliz","Sí","Sí","","",50,100,2.75,3.04,3.73,5.35,4.52,4.35,3.07,4.1,4.27,5.21,4.96,4.61,4.38,5.66,4.46
14066,"Suecia","Europa",1,35,"Millennial",2,41707,"Sí","Sí","","","Sí","No","Probable","Triste","No","No","Probable","Neutral","No","Sí","","","No","No","Incierto","Neutral","Sí","No","Cierto","Triste",50,100,1.5,4.64,2.61,2.66,3.77,4.4,4.99,4.12,4.46,3.72,2.78,2.55,4.14,3.94,5.13
14075,"India","Asia",2,27,"Gen Z",2,1098,"No","No","Improbable","Triste","Sí","No","Improbable","Triste","No","No","Improbable","Triste","No","No","Probable","Feliz","No","No","Improbable","Triste","No","No","Incierto","Triste",16.67,0,1.33,3.04,2.46,3.48,2.63,4.12,3.7,2.24,3.37,6.32,4.87,4.94,3.09,3.14,3.17
14077,"Suecia","Europa",1,63,"Baby Boomer",1,93241,"Sí","No","Probable","Triste","Sí","No","Cierto","Neutral","No","No","Cierto","Triste","No","Sí","","","No","No","Probable","Triste","No","Sí","","",33.33,100,1.25,5.14,4.75,2.79,3.53,4.72,4.82,5.08,4.36,3.39,3.85,4.38,5.87,5,5.3
14080,"India","Asia",2,25,"Gen Z",2,2246,"No","Sí","","","Sí","No","Incierto","Triste","No","No","Incierto","Feliz","No","No","Incierto","Triste","No","No","Improbable","Triste","No","Sí","","",16.67,0,1.5,2.41,2.45,3.97,3.13,3.64,3.5,1.94,2.48,4.08,3.09,4.18,2.72,3.55,4.5
14083,"Suecia","Europa",1,56,"Gen X",2,46171,"Sí","Sí","","","Sí","No","Probable","Triste","No","Sí","","","No","Sí","","","Sí","No","Cierto","Neutral","No","Sí","","",50,100,1.5,4.68,4.53,2.98,2.45,4.44,5.15,4.91,4.27,4.02,3.34,2.89,5.07,5.22,5.7
14087,"India","Asia",2,70,"Baby Boomer",1,5038,"No","No","Improbable","Feliz","Sí","Sí","","","No","Sí","","","No","No","Probable","Neutral","No","No","Probable","Feliz","No","No","Cierto","Neutral",16.67,NA,2.5,3.9,3.85,4.59,4.97,4.03,3.93,4.8,3.48,4.81,4.62,5.07,4.41,3.92,2.54
14089,"Suecia","Europa",1,27,"Gen Z",1,88483,"Sí","No","Probable","Triste","No","No","Incierto","Neutral","Sí","No","Improbable","Triste","Sí","No","Incierto","Triste","Sí","No","Incierto","Triste","No","No","Probable","Neutral",66.67,25,1.33,5.8,3.61,4.35,3.41,4.38,2.91,3.91,4.86,3.49,3.77,4.33,4.94,2.89,4.31
14090,"India","Asia",2,68,"Baby Boomer",1,6791,"Sí","Sí","","","Sí","No","Incierto","Feliz","No","Sí","","","Sí","Sí","","","Sí","No","Incierto","Triste","No","Sí","","",66.67,0,2,3.43,4.03,4.93,3.57,4.01,2.44,4.33,3.85,4.01,3.54,5.15,4.69,4.3,4.84
14094,"India","Asia",1,19,"Gen Z",2,1705,"No","No","Probable","Triste","No","Sí","","","No","No","Improbable","Triste","Sí","No","Probable","Neutral","No","No","Incierto","Triste","No","No","Incierto","Triste",16.67,100,1.2,2.34,3,2.75,3.66,3.25,4.73,1.82,2.57,5.36,3.31,3.82,4.01,4.56,4.74
